UF,Municipios,IDH,PIB per capita,Produto Interno Bruto Anual (R$ 1.000),GINI
BA,Itajuipe,"0,599",11152.02 ,229586.65,"0,5008"
BA,Itamaraju,"0,627",13965.75 ,901083.87,"0,5580"
BA,Itamari,"0,578",8712.36 ,70300.05,"0,5232"
BA,Itambe,"0,578",10099.79 ,235910.88,"0,5340"
BA,Itanagra,"0,584",10298.85 ,66376.11,"0,6354"
BA,Itanhem,"0,637",11605.19 ,226289.65,"0,5424"
BA,Itaparica,"0,670",10722.56 ,237118.72,"0,6035"
BA,Itape,"0,599",9913.19 ,89298.01,"0,4792"
BA,Itapebi,"0,572",27428.96 ,282682.81,"0,4964"
BA,Itapetinga,"0,667",14271.87 ,1077098.4,"0,4962"
BA,Itapicuru,"0,486",7677.87 ,270691.14,"0,5499"
BA,Itapitanga,"0,571",7157.14 ,73918.98,"0,4443"
BA,Itaquara,"0,553",7945.81 ,65854.87,"0,5708"
BA,Itarantim,"0,610",13929.74 ,273663.65,"0,5181"
BA,Itatim,"0,582",23178.62 ,334513.79,"0,4709"
